,Id,BsmtQual_Mapping,BsmtCond_Mapping,BsmtExposure_Mapping,BsmtFinType1_Mapping,BsmtFinType2_Mapping,ExterQual_Mapping,ExterCond_Mapping,Electrical_Mapping,FireplaceQu_Mapping,Fence_Mapping,GarageQual_Mapping,GarageCond_Mapping,GarageFinish_Mapping,HeatingQC_Mapping,KitchenQual_Mapping,LotShape_Mapping,PoolQC_Mapping,Utilities_Mapping,MSSubClass_Recategory,MSZoning_Recategory,LotConfig_Recategory,BldgType_Recategory,Condition1_Recategory,Condition2_Recategory,Fence_Recategory,Functional_Recategory,HouseStyle_Recategory,RoofStyle_Recategory,RoofMatl_Recategory,MasVnrType_Recategory,GarageType_Recategory,GarageFinish_Recategory,SaleType_Recategory,SaleCondition_Recategory,OverallQual_Recategory,OverallCond_Recategory,LotFrontage,LotArea,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,Street,Alley,LotShape,LandContour,LandSlope,Foundation,Heating,CentralAir,MiscFeature,SalePrice
234,235,4,3,1,6,1,4,3,5,3,0,3,3,3,5,4,1,0,4,60,R,Inside,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,,BuiltInGarage,Fin,WD,Normal,6,5,,7851,0,235,860,860,1100,0,1960,1,0,2,1,4,1,8,2,2002.0,2,440,288,48,0,0,0,0,0,5,2010,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,216500
235,236,3,3,1,5,1,3,3,5,0,0,3,3,1,3,3,1,0,4,160,R,Inside,TwnhsE,Norm,Norm,,Typ,2Story,NFlt,CompShg,Exist,Detchd,Unf,WD,Normal,6,3,21.0,1680,0,125,483,483,504,0,987,0,0,1,1,2,1,5,0,1971.0,1,264,0,0,0,0,0,0,0,8,2008,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,89500
236,237,4,3,3,6,1,4,3,5,0,0,3,3,2,5,4,1,0,4,20,R,FR,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,7,5,65.0,8773,0,1390,1414,1414,0,0,1414,0,0,2,0,3,1,6,0,2004.0,2,494,132,105,0,0,0,0,0,5,2010,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,185500
237,238,4,3,1,4,1,4,3,5,0,0,3,3,2,5,4,2,0,4,60,R,CulDSac,1Fam,RRNe,Norm,,Typ,2Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,7,7,,9453,0,594,996,1014,730,0,1744,0,0,2,1,3,1,7,0,1993.0,2,457,370,70,0,238,0,0,0,2,2010,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,194500
238,239,5,3,1,1,1,5,3,5,0,0,3,3,3,5,4,1,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,New,Nonormal,8,5,93.0,12030,0,1694,1694,1694,0,0,1694,0,0,2,0,3,1,7,0,2007.0,3,818,168,228,0,0,0,0,0,12,2007,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,318000
239,240,3,2,1,2,1,3,3,4,4,3,3,3,1,3,3,1,0,4,50,R,Inside,1Fam,Norm,Norm,MnPrv,Typ,1.5Fin,NFlt,CompShg,None,Detchd,Unf,WD,Normal,6,4,52.0,8741,0,641,735,798,689,0,1487,0,0,1,1,3,1,7,1,1949.0,1,220,0,140,0,0,0,0,0,4,2010,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,113000
240,241,4,3,3,6,1,4,3,5,0,0,3,3,2,5,4,1,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,8,5,75.0,9000,0,488,1566,1566,0,0,1566,1,0,2,0,3,1,7,0,2008.0,2,750,144,168,0,0,0,0,0,4,2010,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,262500
241,242,3,3,1,5,1,3,4,5,0,0,0,0,0,4,4,1,0,4,30,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,,,WD,Normal,5,9,40.0,3880,0,357,686,866,0,0,866,0,0,1,0,2,1,4,0,,0,0,58,42,0,0,0,0,0,8,2007,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,110500
242,243,3,3,1,1,1,3,3,4,0,0,2,3,1,4,3,1,0,4,50,R,Corner,1Fam,Norm,Norm,,Typ,1.5Fin,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,5,4,63.0,5000,0,540,540,889,551,0,1440,0,0,1,0,3,1,6,0,1940.0,1,352,0,0,77,0,0,0,0,4,2006,Pave,,Reg,Lvl,Gtl,BrkTil,GasA,N,,79000
243,244,4,3,1,1,1,3,3,5,3,0,3,3,2,3,3,1,0,4,160,R,Corner,TwnhsE,Norm,Norm,,Typ,2Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,6,6,75.0,10762,0,626,626,626,591,0,1217,0,0,1,1,3,1,6,1,1980.0,1,288,0,28,0,0,0,0,0,4,2009,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,120000
244,245,4,3,1,6,1,4,3,5,2,0,3,3,2,5,4,2,0,4,60,R,Inside,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,7,5,,8880,0,253,948,1222,888,0,2110,1,0,2,1,3,1,8,2,1994.0,2,463,0,130,0,0,0,0,0,5,2010,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,205000
245,246,4,3,3,6,1,3,3,5,3,0,3,3,3,4,3,1,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,WD,Normal,7,5,80.0,10400,0,916,1845,1872,0,0,1872,0,1,2,0,3,1,6,1,1988.0,2,604,197,39,0,0,0,0,0,6,2006,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,241500
246,247,2,3,1,1,1,3,2,2,0,0,1,1,1,4,2,1,0,4,190,R,Inside,2fmCon,Norm,Norm,,Typ,2Story,NFlt,CompShg,None,Detchd,Unf,WD,Normal,6,8,69.0,9142,0,1020,1020,908,1020,0,1928,0,0,2,0,4,2,9,0,1910.0,1,440,0,60,112,0,0,0,0,4,2006,Pave,Grvl,Reg,Lvl,Gtl,Stone,GasA,N,,137000
247,248,3,3,1,1,1,3,3,5,3,0,3,3,1,5,3,1,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,6,5,75.0,11310,0,1367,1367,1375,0,0,1375,0,0,1,0,2,1,5,1,1954.0,2,451,0,30,0,0,0,0,0,6,2006,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,140000
248,249,4,3,1,1,1,4,3,5,0,0,3,3,2,5,4,1,0,4,60,R,Inside,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,7,5,72.0,11317,0,840,840,840,828,0,1668,0,0,2,1,3,1,8,0,2003.0,2,500,144,68,0,0,0,0,0,9,2007,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,180000
249,250,4,3,4,3,1,4,3,5,3,0,3,3,3,4,4,3,0,4,50,R,CulDSac,1Fam,Norm,Norm,,Typ,1.5Fin,NFlt,CompShg,Exist,BuiltInGarage,Fin,WD,Normal,6,7,,159000,0,747,1444,1444,700,0,2144,0,1,2,0,4,1,7,2,1958.0,2,389,0,98,0,0,0,0,500,6,2007,Pave,,IR2,Low,Sev,CBlock,GasA,Y,Shed,277000
250,251,3,3,1,1,1,3,1,5,0,2,0,0,0,5,2,2,0,4,30,R,Inside,1Fam,Norm,Norm,GdWo,Mod,1Story,NFlt,CompShg,None,,,WD,Normal,3,2,55.0,5350,0,728,728,1306,0,0,1306,0,0,1,0,3,1,6,0,,0,0,263,0,0,0,0,0,450,5,2010,Pave,,IR1,Lvl,Gtl,CBlock,GasA,Y,Shed,76500
251,252,4,3,4,6,1,4,3,5,4,0,3,3,3,5,4,2,0,4,120,R,Inside,TwnhsE,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,WD,Nonormal,8,5,44.0,4750,0,0,1573,1625,0,0,1625,1,1,2,0,2,1,5,1,2006.0,2,538,123,0,0,0,153,0,0,12,2007,Pave,,IR1,HLS,Mod,PConc,GasA,Y,,235000
252,253,4,3,1,1,1,4,3,5,0,0,3,3,2,5,4,2,0,4,60,R,Inside,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,6,5,65.0,8366,0,798,798,798,842,0,1640,0,0,2,1,3,1,6,0,2004.0,2,520,138,45,0,0,0,0,0,12,2008,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,173000
253,254,4,3,4,2,5,3,3,5,0,3,3,3,2,5,4,1,0,4,80,R,Inside,1Fam,Norm,Norm,MnPrv,Min1,SLvl,NFlt,CompShg,Exist,BuiltInGarage,Unf,CWD,Normal,6,7,85.0,9350,580,452,1302,1302,0,0,1302,0,1,2,0,3,1,7,0,1964.0,1,309,333,0,0,0,0,0,0,10,2007,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,158000
254,255,3,3,1,3,1,3,4,5,0,0,3,3,2,3,3,1,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,5,6,70.0,8400,0,392,1314,1314,0,0,1314,1,0,1,0,3,1,5,0,1957.0,1,294,250,0,0,0,0,0,0,6,2010,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,145000
255,256,4,3,1,1,1,4,3,5,3,0,3,3,3,5,4,2,0,4,60,R,Inside,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,WD,Normal,7,5,66.0,8738,0,975,975,1005,1286,0,2291,0,0,2,1,4,1,8,1,1999.0,2,429,192,0,0,0,0,0,0,2,2006,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,230000
256,257,4,3,1,3,1,4,3,5,0,0,3,3,2,5,4,2,0,4,60,R,Inside,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,6,5,64.0,8791,0,361,864,864,864,0,1728,0,0,2,1,3,1,7,0,2003.0,2,673,216,56,0,0,0,0,0,5,2008,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,207500
257,258,4,3,1,6,1,4,3,5,4,0,3,3,2,5,4,1,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Abnorml,7,5,68.0,8814,0,270,1604,1604,0,0,1604,1,0,2,1,3,1,8,1,2006.0,2,660,123,110,0,0,0,0,0,3,2009,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,220000
258,259,4,3,1,6,1,4,3,5,3,0,3,3,2,5,4,1,0,4,60,R,Inside,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,7,5,80.0,12435,0,602,963,963,829,0,1792,0,0,2,1,3,1,7,1,2001.0,2,564,0,96,0,245,0,0,0,5,2008,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,231500
259,260,0,0,0,0,0,3,3,4,0,0,3,3,1,4,3,1,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,Detchd,Unf,WD,Normal,5,5,70.0,12702,0,0,0,882,0,0,882,0,0,1,0,2,1,4,0,1956.0,1,308,0,45,0,0,0,0,0,12,2008,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,97000
260,261,3,3,4,3,5,3,3,5,3,2,3,3,1,3,3,1,0,4,80,R,Corner,1Fam,Artery,Norm,GdWo,Typ,SLvl,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,6,5,120.0,19296,690,0,1362,1382,0,0,1382,1,0,1,0,3,1,6,1,1991.0,2,884,0,0,252,0,0,0,0,5,2009,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,176000
261,262,5,3,1,1,1,4,3,5,4,0,3,3,3,5,5,2,0,4,60,R,Inside,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,New,Nonormal,8,5,69.0,9588,0,1482,1482,1482,1092,0,2574,0,0,2,1,3,1,10,1,2007.0,3,868,0,148,0,0,0,0,0,11,2007,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,276000
262,263,4,4,3,5,1,3,3,5,3,2,3,3,1,3,3,2,0,4,80,R,Corner,1Fam,Norm,Norm,GdWo,Typ,SLvl,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,6,7,88.0,8471,0,0,506,1212,0,0,1212,1,0,1,0,3,1,6,1,1978.0,2,492,292,12,0,0,0,0,0,7,2006,Pave,,IR1,Lvl,Gtl,CBlock,GasA,Y,,151000
263,264,3,3,1,2,5,3,3,5,0,0,3,3,1,3,3,1,0,4,50,R,Corner,1Fam,Norm,Norm,,Typ,1.5Fin,NFlt,CompShg,None,Detchd,Unf,WD,Normal,5,7,50.0,5500,692,0,926,926,0,390,1316,1,0,1,0,3,1,6,0,1974.0,2,484,0,0,0,0,0,0,0,4,2010,Pave,,Reg,Lvl,Gtl,BrkTil,GasA,Y,,130000
264,265,2,3,1,1,1,3,3,2,0,0,3,3,1,4,3,4,0,4,30,R,Inside,1Fam,Artery,Norm,,Typ,1Story,NFlt,CompShg,None,Detchd,Unf,WD,Normal,5,5,30.0,5232,0,680,680,764,0,0,764,0,0,1,0,2,1,4,0,1965.0,2,504,0,0,0,0,0,0,0,6,2008,Pave,Grvl,IR3,Bnk,Gtl,BrkTil,GasA,N,,73000
265,266,4,3,1,6,2,3,4,5,3,4,3,3,3,3,4,2,0,4,20,R,Inside,1Fam,Norm,Norm,GdPrv,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,WD,Normal,6,6,78.0,12090,228,606,1422,1422,0,0,1422,0,0,2,0,3,1,7,1,1981.0,2,576,276,0,0,0,0,0,0,6,2008,Pave,,IR1,Lvl,Gtl,CBlock,GasA,Y,,175500
266,267,4,3,3,6,1,3,3,5,3,0,3,3,3,4,3,2,0,4,60,R,FR,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,None,BuiltInGarage,Fin,WD,Normal,6,5,70.0,11207,0,88,802,802,709,0,1511,1,0,2,1,3,1,8,1,1997.0,2,413,95,75,0,0,0,0,0,6,2006,Pave,,IR1,HLS,Gtl,PConc,GasA,Y,,185000
267,268,3,3,1,2,1,3,3,5,4,0,3,3,1,5,4,1,0,4,75,R,Inside,1Fam,Norm,Norm,,Typ,2.5Fin,NFlt,CompShg,None,Detchd,Unf,WD,Normal,5,8,60.0,8400,0,342,720,1052,720,420,2192,0,0,2,1,4,1,8,1,1939.0,1,240,262,24,0,0,0,0,0,7,2008,Pave,,Reg,Bnk,Mod,PConc,GasA,Y,,179500
268,269,3,3,1,5,3,3,3,5,4,0,5,5,3,5,3,1,0,4,30,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,Detchd,Fin,WD,Normal,5,6,71.0,6900,125,212,740,778,0,0,778,0,0,1,0,2,1,4,1,1966.0,1,924,0,25,0,0,0,0,0,2,2008,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,120500
269,270,3,4,1,4,1,3,4,5,2,4,3,4,2,3,3,2,0,4,20,R,Corner,1Fam,Norm,Norm,GdPrv,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,6,7,,7917,0,392,1143,1113,0,0,1113,1,0,1,1,3,1,6,1,1987.0,1,504,370,30,0,0,0,0,0,5,2007,Pave,,IR1,Lvl,Gtl,CBlock,GasA,Y,,148000
270,271,4,3,2,1,1,4,3,5,4,0,3,3,2,4,4,1,0,4,60,R,Inside,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,None,BuiltInGarage,Unf,New,Nonormal,8,5,84.0,10728,0,1095,1095,1095,844,0,1939,0,0,2,1,3,1,8,1,2006.0,3,1053,192,51,0,0,0,0,0,8,2006,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,266000
271,272,4,3,4,2,6,3,3,5,3,0,3,3,1,5,3,2,0,4,20,R,CulDSac,1Fam,Norm,Norm,,Mod,1Story,Flat,NComp,None,BuiltInGarage,Unf,WD,Normal,7,7,73.0,39104,1063,96,1385,1363,0,0,1363,1,0,1,0,2,1,5,2,1954.0,2,439,81,0,0,0,0,0,0,4,2008,Pave,,IR1,Low,Sev,CBlock,GasA,Y,,241500
272,273,4,3,1,6,1,4,3,5,4,0,3,3,3,5,4,2,0,4,60,R,CulDSac,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,WD,Normal,8,7,92.0,11764,0,628,1152,1164,1106,0,2270,0,0,2,1,4,1,9,1,1999.0,3,671,132,57,0,0,0,0,0,4,2010,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,290000
273,274,3,3,1,3,2,3,3,5,4,3,3,3,2,4,3,1,0,4,20,R,Inside,1Fam,Feedr,Norm,MnPrv,Min1,1Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,WD,Normal,6,6,80.0,9600,620,0,1240,1632,0,0,1632,1,0,2,0,3,1,6,1,1958.0,1,338,289,0,0,0,0,0,0,4,2009,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,139000
274,275,3,3,4,5,1,3,3,5,0,0,3,3,1,3,3,1,0,4,20,R,Corner,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,5,7,76.0,8314,0,270,816,816,0,0,816,0,0,1,0,2,1,5,0,1982.0,1,264,168,0,0,0,0,0,0,6,2007,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,124500
275,276,3,3,1,1,1,4,4,5,0,0,3,3,1,4,5,1,0,4,50,R,Inside,1Fam,Norm,Norm,,Typ,1.5Fin,NFlt,CompShg,None,Detchd,Unf,WD,Normal,7,7,55.0,7264,0,952,952,952,596,0,1548,0,0,2,1,3,1,5,0,1978.0,2,672,74,0,0,0,144,0,0,10,2009,Pave,,Reg,Lvl,Gtl,BrkTil,GasW,N,,205000
276,277,5,3,1,1,1,4,3,5,0,0,3,3,3,5,4,2,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Fin,WD,Normal,7,5,129.0,9196,0,1560,1560,1560,0,0,1560,0,0,2,0,3,1,7,0,2003.0,2,573,100,150,0,0,0,0,0,4,2010,Pave,,IR1,Lvl,Gtl,PConc,GasA,Y,,201000
277,278,3,3,1,2,1,3,3,5,0,0,3,3,1,5,3,1,0,4,20,R,Corner,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,Detchd,Unf,WD,Normal,4,5,140.0,19138,0,744,864,864,0,0,864,0,0,1,0,2,1,4,0,1951.0,2,400,0,0,0,0,0,0,0,6,2010,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,141000
278,279,5,3,4,1,1,5,3,5,5,0,3,3,3,5,5,1,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,New,Nonormal,9,5,107.0,14450,0,2121,2121,2121,0,0,2121,0,0,2,1,3,1,8,1,2007.0,3,732,124,98,0,0,142,0,0,5,2007,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,415298
279,280,4,3,1,4,1,3,3,5,3,0,3,3,3,5,3,1,0,4,60,R,Inside,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,WD,Normal,7,5,83.0,10005,0,768,1160,1156,866,0,2022,0,0,2,1,4,1,8,1,1977.0,2,505,288,117,0,0,0,0,0,3,2008,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,192000
280,281,4,3,3,6,1,4,3,5,3,0,3,3,3,4,4,1,0,4,60,R,Inside,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,WD,Normal,7,6,82.0,11287,0,386,807,1175,807,0,1982,0,0,2,1,3,1,7,1,1989.0,2,575,0,84,0,196,0,0,0,1,2007,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,228500
281,282,4,3,1,6,1,4,3,5,0,0,3,3,3,4,4,1,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,New,Nonormal,6,5,60.0,7200,0,357,1262,1262,0,0,1262,0,0,2,0,2,1,5,0,2006.0,2,572,0,120,0,0,0,0,0,5,2006,Pave,Pave,Reg,Lvl,Gtl,PConc,GasA,Y,,185000
282,283,4,3,1,6,1,4,3,5,4,0,3,3,2,5,4,1,0,4,120,R,Inside,Twnhs,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Unf,ConLw,Normal,7,5,34.0,5063,0,410,1314,1314,0,0,1314,1,0,2,0,2,1,6,1,2008.0,2,626,172,62,0,0,0,0,0,4,2009,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,207500
283,284,4,3,1,1,1,4,3,5,4,0,3,3,3,5,4,1,0,4,20,R,Inside,1Fam,Feedr,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,New,Nonormal,8,5,74.0,9612,0,1468,1468,1468,0,0,1468,0,0,2,0,3,1,6,1,2008.0,3,898,210,150,0,0,0,0,0,12,2009,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,244600
284,285,4,3,1,6,1,4,3,5,0,0,3,3,2,4,4,1,0,4,120,R,Inside,TwnhsE,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,6,5,50.0,8012,0,1145,1575,1575,0,0,1575,1,0,2,0,2,1,5,0,1992.0,2,529,0,0,52,0,0,0,0,7,2007,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,179200
285,286,4,3,1,1,1,4,3,5,0,0,3,3,2,5,4,2,0,4,160,R,Inside,TwnhsE,Norm,Norm,,Typ,2Story,NFlt,CompShg,None,Detchd,Unf,New,Nonormal,7,5,35.0,4251,0,625,625,625,625,0,1250,0,0,2,1,2,1,5,0,2006.0,2,528,0,54,0,0,0,0,0,6,2007,Pave,Pave,IR1,Lvl,Gtl,PConc,GasA,Y,,164700
286,287,3,3,1,3,1,3,3,5,4,4,3,3,2,3,4,2,0,4,50,R,Inside,1Fam,Norm,Norm,GdPrv,Typ,1.5Fin,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,6,7,77.0,9786,0,312,912,1085,649,0,1734,0,0,1,1,3,1,7,1,1962.0,2,440,0,0,0,0,128,0,0,6,2006,Pave,,IR1,Bnk,Gtl,CBlock,GasA,Y,,159000
287,288,3,3,1,4,1,3,3,5,0,0,0,0,0,3,3,2,0,4,20,R,Corner,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,None,,,WD,Normal,4,4,,8125,0,244,858,858,0,0,858,0,0,1,0,3,1,5,0,,0,0,0,0,0,0,0,0,0,6,2006,Pave,,IR1,Lvl,Gtl,CBlock,GasA,Y,,88000
288,289,3,3,1,4,1,3,4,5,0,3,3,3,1,3,3,2,0,4,20,R,Inside,1Fam,Norm,Norm,MnPrv,Typ,1Story,NFlt,CompShg,Exist,Detchd,Unf,WD,Normal,5,5,,9819,0,432,882,900,0,0,900,0,0,1,0,3,1,5,0,1970.0,1,280,0,0,0,0,0,0,0,2,2010,Pave,,IR1,Lvl,Gtl,CBlock,GasA,Y,,122000
289,290,3,3,1,1,1,3,3,4,0,0,3,3,1,5,3,1,0,4,70,R,Inside,1Fam,RRAn,Norm,,Typ,2Story,NFlt,CompShg,None,Detchd,Unf,WD,Normal,6,7,60.0,8730,0,698,698,698,698,0,1396,0,0,1,0,3,1,7,0,2003.0,1,384,0,0,0,0,259,0,0,7,2007,Pave,,Reg,Lvl,Gtl,BrkTil,GasA,Y,,153575
290,291,4,3,3,1,1,4,3,5,4,0,4,3,2,5,4,1,0,4,60,R,Inside,1Fam,Norm,Norm,,Typ,2Story,NFlt,CompShg,None,BuiltInGarage,Unf,New,Nonormal,8,5,120.0,15611,0,1079,1079,1079,840,0,1919,0,0,2,1,3,1,8,1,2006.0,2,685,0,51,0,0,0,0,0,7,2006,Pave,,Reg,Lvl,Gtl,PConc,GasA,Y,,233230
291,292,3,2,1,3,1,3,2,5,0,0,0,0,0,5,2,1,0,4,190,R,Inside,2fmCon,Norm,Norm,,Typ,2Story,NFlt,CompShg,None,,,WD,Normal,5,6,55.0,5687,0,570,780,936,780,0,1716,1,0,2,0,6,1,9,0,,0,0,0,184,0,0,0,0,0,3,2008,Pave,Grvl,Reg,Bnk,Gtl,PConc,GasA,N,,135900
292,293,3,3,1,2,1,3,3,5,4,0,3,3,1,4,3,1,0,4,50,R,Inside,1Fam,Norm,Norm,,Min2,1.5Fin,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,5,4,60.0,11409,0,476,768,1148,568,0,1716,0,0,1,1,3,1,8,1,1949.0,1,281,0,0,0,0,160,0,0,1,2009,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,131000
293,294,3,3,1,5,1,3,3,5,3,0,3,3,3,2,4,2,0,4,60,R,Corner,1Fam,PosA,Norm,,Typ,2Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,WD,Normal,7,7,,16659,0,0,795,1468,795,0,2263,1,0,2,1,3,1,9,1,1977.0,2,539,0,250,0,0,0,0,0,3,2006,Pave,,IR1,Lvl,Gtl,CBlock,GasA,Y,,235000
294,295,3,3,1,6,1,3,3,5,4,0,3,3,3,3,3,1,0,4,20,R,Inside,1Fam,Norm,Norm,,Typ,1Story,NFlt,CompShg,Exist,BuiltInGarage,Fin,WD,Normal,6,5,80.0,9600,0,131,1416,1644,0,0,1644,1,0,1,0,3,1,7,2,1953.0,2,418,110,0,0,0,0,0,0,10,2009,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,167000
295,296,3,3,3,6,1,3,3,5,0,4,3,3,1,3,3,2,0,4,80,R,CulDSac,1Fam,Norm,Norm,GdPrv,Typ,SLvl,NFlt,CompShg,None,Detchd,Unf,WD,Normal,6,6,37.0,7937,0,184,1003,1003,0,0,1003,1,0,1,0,3,1,6,0,1984.0,2,588,120,0,0,0,0,0,0,3,2006,Pave,,IR1,Lvl,Gtl,CBlock,GasA,Y,,142500
296,297,3,3,1,4,1,3,3,4,0,3,3,3,1,3,3,1,0,4,50,R,Inside,1Fam,Norm,Norm,MnPrv,Typ,1.5Fin,NFlt,CompShg,None,BuiltInGarage,Unf,WD,Normal,5,5,75.0,13710,0,490,910,910,648,0,1558,0,0,1,1,4,1,6,0,1950.0,1,282,289,0,0,0,0,0,0,6,2007,Pave,,Reg,Lvl,Gtl,CBlock,GasA,Y,,152000
